t,volts
0.000556,0.028
0.0005564,0.024
0.0005568,0.03
0.0005572,0.03
0.0005576,0.032
0.000558,0.032
0.0005584,0.03
0.0005587999999999999,0.03
0.0005591999999999999,0.032
0.0005595999999999999,0.03
0.00056,0.032
0.0005604,0.03
0.0005608,0.034
0.0005612,0.03
0.0005616,0.03
0.000562,0.032
0.0005624,0.032
0.0005628,0.032
0.0005632,0.032
0.0005635999999999999,0.034
0.0005639999999999999,0.032
0.0005644,0.034
0.0005648,0.034
0.0005652,0.032
0.0005656,0.038
0.000566,0.036000000000000004
0.0005664,0.032
0.0005668,0.034
0.0005672,0.034
0.0005676,0.034
0.0005679999999999999,0.036000000000000004
0.0005683999999999999,0.036000000000000004
0.0005688,0.034
0.0005692,0.036000000000000004
0.0005696,0.036000000000000004
0.00057,0.036000000000000004
0.0005704,0.038
0.0005708,0.038
0.0005712,0.036000000000000004
0.0005716,0.038
0.000572,0.038
0.0005723999999999999,0.042
0.0005727999999999999,0.036000000000000004
0.0005732,0.036000000000000004
0.0005736,0.038
0.000574,0.038
0.0005744,0.036000000000000004
0.0005748,0.038
0.0005752,0.04
0.0005756,0.04
0.000576,0.04
0.0005764,0.04
0.0005767999999999999,0.04
0.0005771999999999999,0.04
0.0005775999999999999,0.04
0.000578,0.04
0.0005784,0.04
0.0005788,0.042
0.0005792,0.042
0.0005796,0.04
0.00058,0.04
0.0005804,0.042
0.0005808,0.042
0.0005811999999999999,0.038
0.0005815999999999999,0.04
0.0005819999999999999,0.044
0.0005824,0.044
0.0005828,0.044
0.0005832,0.044
0.0005836,0.046
0.000584,0.044
0.0005844,0.044
0.0005848,0.046
0.0005852,0.044
0.0005855999999999999,0.046
0.0005859999999999999,0.044
0.0005863999999999999,0.046
0.0005868,0.046
0.0005872,0.048
0.0005876,0.046
0.000588,0.046
0.0005884,0.046
0.0005888,0.046
0.0005892,0.046
0.0005896,0.048
0.0005899999999999999,0.046
0.0005903999999999999,0.048
0.0005907999999999999,0.046
0.0005912,0.048
0.0005916,0.044
0.000592,0.048
0.0005924,0.05
0.0005928,0.05
0.0005932,0.048
0.0005936,0.048
0.000594,0.05
0.0005943999999999999,0.046
0.0005947999999999999,0.05
0.0005951999999999999,0.05
0.0005956,0.05
0.000596,0.048
0.0005964,0.05
0.0005968,0.052000000000000005
0.0005972,0.052000000000000005
0.0005976,0.052000000000000005
0.000598,0.05
0.0005984,0.052000000000000005
0.0005988,0.052000000000000005
0.0005991999999999999,0.048
0.0005995999999999999,0.054
0.0006,0.054
0.0006004,0.052000000000000005
0.0006008,0.048
0.0006012,0.054
0.0006016,0.052000000000000005
0.000602,0.056
0.0006024,0.05
0.0006028,0.052000000000000005
0.0006032,0.052000000000000005
0.0006035999999999999,0.054
0.0006039999999999999,0.054
0.0006044,0.054
0.0006048,0.054
0.0006052,0.052000000000000005
0.0006056,0.054
0.000606,0.052000000000000005
0.0006064,0.054
0.0006068,0.054
0.0006072,0.058
0.0006076,0.054
0.0006079999999999999,0.056
0.0006083999999999999,0.056
0.0006087999999999999,0.058
0.0006092,0.054
0.0006096,0.056
0.00061,0.056
0.0006104,0.056
0.0006108,0.056
0.0006112,0.056
0.0006116,0.058
0.000612,0.058
0.0006123999999999999,0.056
0.0006127999999999999,0.058
0.0006131999999999999,0.056
0.0006136,0.058
0.000614,0.056
0.0006144,0.058
0.0006148,0.06
0.0006152,0.06
0.0006156,0.058
0.000616,0.058
0.0006164,0.06
0.0006167999999999999,0.062
0.0006171999999999999,0.056
0.0006175999999999999,0.06
0.000618,0.058
0.0006184,0.06
0.0006188,0.06
0.0006192,0.06
0.0006196,0.062
0.00062,0.06
0.0006204,0.058
0.0006208,0.06
0.0006211999999999999,0.062
0.0006215999999999999,0.058
0.0006219999999999999,0.062
0.0006224,0.06
0.0006228,0.062
0.0006232,0.062
0.0006236,0.064
0.000624,0.062
0.0006244,0.062
0.0006248,0.062
0.0006252,0.064
0.0006255999999999999,0.066
0.0006259999999999999,0.066
0.0006263999999999999,0.06
0.0006268,0.068
0.0006272,0.062
0.0006276,0.064
0.000628,0.062
0.0006284,0.064
0.0006288,0.062
0.0006292,0.066
0.0006296,0.066
0.0006299999999999999,0.068
0.0006303999999999999,0.062
0.0006307999999999999,0.064
0.0006312,0.064
0.0006316,0.066
0.000632,0.068
0.0006324,0.066
0.0006328,0.068
0.0006332,0.068
0.0006336,0.064
0.000634,0.064
0.0006344,0.066
0.0006347999999999999,0.066
0.0006351999999999999,0.066
0.0006355999999999999,0.066
0.000636,0.066
